genre,track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
0,TRIQEKP12903CBDB04,Funkstoerung,Inmarsat,-8.706,87.232,1,0,1,324.80608,40.0218685377,-13.5569926145,-60.6035524372,23.5593921713,16.9342592319,-6.6828028065,-20.6967644018,-23.679394387,-5.26982717873,2.40121344165,2.27336410635,-0.240900295421,65.5952640226,11496.2173151,8818.18136069,4569.10036024,2604.7307455,1961.27374536,1063.26121876,1798.93450959,1036.39550005,727.59577967,906.411910972,509.691933536
0,TRNPHPZ128F14AC615,Funkstörung,Music For Our Children,-12.212,120.707,7,0,1,35.81342,42.7589370079,11.827015748,67.1134173228,2.50311023622,40.3819606299,-21.8221181102,6.56607874016,1.13801574803,-6.03314173228,-3.0558976378,-3.94398425197,0.237653543307,35.8975594921,2846.7903922,762.258860117,781.286228429,550.432598447,224.202087427,373.767538151,410.529283921,245.376251035,173.173203037,157.736707527,149.96547314
0,TRMYCLP128F1491D42,Funkstörung,The Nipple Twist,-7.658,66.676,5,7,1,272.14322,43.3989562044,38.0175233577,-42.4157664234,40.569310219,-11.4256832117,13.1679518248,3.08540948905,2.5737270073,3.01484671533,4.25224525547,-7.01217080292,1.3281540146,43.8323338886,3849.91266786,3393.17270554,3689.79828113,978.865600419,2772.44327873,920.80416062,1200.9998859,357.004458912,686.452280924,1076.11467247,236.884885133
0,TRHNTQF128F1491D32,Funkstörung,Wearing Old Armani,-8.587,120.021,4,7,1,347.16689,41.4718179837,17.9008463215,-92.761546594,68.7417433243,-13.2304926431,-5.14107302452,2.83047029973,14.7046822888,2.98819891008,23.8533008174,-5.71310626703,2.58523487738,31.1480792432,5765.07288087,2856.02618432,5277.38581874,508.752048328,2769.10841059,464.434566355,959.882455825,194.013744305,604.512719729,1530.84434297,186.940507381
0,TRBGGDN128F1491D44,Funkstörung,CB/DC,-8.566,125.063,4,7,1,277.9424,40.7659173851,27.1669877874,-58.9199022989,61.6562112069,-6.85077945402,4.56748922414,1.79366954023,2.79176795977,9.92580531609,17.4443297414,-4.84348635057,4.06505244253,51.7340034867,5443.5640014,2335.08246142,5757.38875371,912.295678511,3027.22194623,940.137412072,940.984512605,463.229938563,597.228099238,1296.69024876,250.452543235
0,TRFIETG128F1491D41,Funkstörung,B2401,-20.624,100.716,3,11,1,61.33506,31.184125,-108.646793478,-25.7696141304,-28.3523043478,-29.6499130435,-31.639423913,12.7345815217,5.52489130435,14.4052663043,7.45747826087,-5.13158695652,-7.25254891304,63.2955020115,5821.41886503,2954.21168322,1011.40852606,987.133009427,197.370376462,306.48313108,231.618197977,314.842247435,47.8908637278,86.7684835033,253.72346515
0,TRQXRWD128F1491D3D,Funkstörung,More&More&More,-9.315,131.003,4,7,1,291.00363,40.7598332344,31.2320498516,-63.6331519288,41.3605614243,-15.3505121662,1.10952344214,4.62472581602,-6.8526148368,12.4512261128,16.6294997033,-5.24443857567,6.24991335312,27.3341357223,3770.88048055,2867.75370159,3800.12650926,1000.72511825,2538.68864572,786.3634812,1111.52784834,343.25269481,804.840079525,1167.76090508,178.125340622
0,TRZGJRC128F1491D36,Funkstörung,AP1108,-16.086,98.087,4,10,0,69.0673,35.3212456897,-92.1500043103,0.208021551724,0.49800862069,-14.1950991379,-12.4468836207,-3.61656896552,8.14539224138,55.8311336207,18.3344181034,-0.0312629310345,14.5358318966,40.7155673922,8611.29543603,1438.52240535,1362.2042249,1118.38532688,980.878489353,765.749933047,506.784176842,1440.01994151,407.068654769,264.625128263,1194.12360839
0,TRIDOGM128F1491D37,Funkstörung,Shuffled&Buffered,-7.079,86.677,5,10,0,247.19628,43.0161124031,-25.0065217054,-47.5500193798,53.140275969,-13.677927907,-4.42991317829,9.42289457364,1.57096511628,7.56445891473,13.8474581395,0.566204651163,5.26767286822,36.295510075,7040.06236652,3186.51417837,3784.29882641,995.45525425,2879.29539728,922.608767873,1312.94563799,499.116833016,690.440005022,1031.68094387,312.677412603
0,TRAWPNL128F1491D47,Funkstörung,You Go' Funk,-7.939,99.995,4,6,0,256.522,42.4897732426,25.6042834467,-72.4858133031,55.2423046107,-22.6496326531,-4.48450793651,4.09718216175,-0.039940287226,2.22878911565,7.5836606198,-5.06071126228,2.46656386999,33.6219007573,3496.48530107,2557.01940982,4333.32933453,885.981595071,2735.88802309,445.139861101,980.711861919,284.625545249,453.312101208,1105.43622505,116.881327345
